"Price","Living.Area","Bathrooms","Fireplaces","Lot.Size","Age"
387652,3504,2.5,3,0.9,0
240890,1921,2,1,0.46,0
260460,3726,2.5,1,2.31,3
90354,912,1.5,0,0.16,16
192694,2079,2.5,0,0.44,11
102801,1184,2,0,0.16,18
79567,908,1,0,0.16,19
101708,1492,2.5,0,0.17,16
162913,2011,2.5,1,0.99,12
75606,912,1.5,0,0.15,19
175874,2195,2,1,0.45,1
159313,1561,1.5,0,0.32,17
207237,2656,2.5,1,0.41,1
205397,2425,2.5,1,0.42,0
79116,908,1,0,0.15,19
161923,1158,1.5,0,0.57,7
133155,1334,1.5,0,0.77,7
159786,1561,1.5,1,0.32,16
102405,1680,2,0,0.12,15
114514,1514,2,0,0.16,17
162006,1656,1.5,1,0.33,17
93815,1184,1.5,0,0.15,19
181140,2648,2.5,1,0.43,0
137309,1092,1.5,0,0.35,33
136551,1880,2,0,0.62,7
107049,1592,2,0,0.16,16
163524,2516,2,1,2.96,40
181140,2310,3,1,0.56,31
317120,3076,3.5,1,0.92,0
77547,908,1,0,0.16,19
81762,912,1.5,0,0.15,19
147517,1680,1,0,0.45,27
263226,3355,2.5,1,0.83,1
163191,1886,2.5,1,0.43,16
125920,1605,2.5,1,0.15,0
164623,1772,2,1,0.29,0
161562,2044,2.5,1,0.37,16
163781,1124,1,0,0.45,26
235152,3192,3,1,0.11,2
120639,1498,1.5,1,0.18,0
123834,1092,1,0,0.33,72
76342,896,1,0,0,48
79982,1572,1.5,0,0.39,41
69152,986,1,0,0.06,133
71647,2087,2.5,1,0.56,0
140765,1596,1.5,0,0.28,49
91792,908,1,0,0.16,17
134865,1500,1.5,2,0.49,31
139079,1719,1.5,1,0.53,25
244443,2810,2.5,2,0.74,14
162091,1806,2.5,1,1.59,0
263226,3355,2.5,1,0.83,1
126010,1760,1,1,0.52,37
173102,1896,1.5,1,0.42,17
120639,1498,1.5,1,0.18,0
139079,1248,2,0,0.75,37
189654,2320,2.5,1,0.65,16
89432,1132,1,1,0.16,25
196317,2359,2.5,1,0.61,1
209122,3476,2.5,1,0.34,20
140602,1693,1.5,1,0.37,26
170567,1585,1.5,1,0.95,16
111875,1758,2,0,0.3,25
225885,2524,2.5,1,0.48,6
163652,1908,2.5,1,0.27,25
119858,1476,1.5,1,0.22,24
212830,2266,2.5,1,0.26,0
142907,1920,2,1,0.59,31
193524,1730,2.5,1,0.66,1
189836,1726,2,1,0.06,26
154432,1644,2.5,1,0.3,20
248204,1908,2,1,0.26,0
175514,2475,2.5,1,0.59,35
297024,3020,2.5,2,0.77,2
175514,2310,2.5,1,0.45,36
201616,2119,2.5,1,0.76,16
562546,5228,4,4,0.45,14
172814,2056,1.5,1,0.42,35
232894,2500,2.5,1,0.57,0
169124,2576,2.5,1,0.69,34
232219,2541,2.5,1,0.49,5
247520,2445,2.5,2,0.38,18
224928,2185,2.5,1,0.74,14
294133,3981,3,1,0.69,0
228806,2577,2.5,1,0.29,0
170600,1728,2.5,1,0.27,0
175784,1837,1.5,0,0.52,18
229055,2500,2.5,1,0.5,0
157513,1910,2.5,1,0.58,19
308750,2958,2.5,1,0.92,0
202157,2564,2.5,1,0.59,30
241885,2604,3,1,0.24,0
297380,2906,2.5,1,0.62,2
119751,1480,1.5,0,0.11,17
153129,1872,1.5,1,0.56,32
156679,1911,1.5,1,0.43,35
102086,1302,1.5,0,0.06,16
149933,1664,2,1,0.38,25
228375,2512,2.5,1,0.04,0
261872,2380,2.5,1,0.95,9
161118,1887,2.5,1,0.56,27
190856,2086,2.5,1,0.46,14
140701,1554,2,3,0.53,20
368396,3358,3.5,1,0.58,9
250976,2394,2.5,1,0.6,0
180032,2066,2.5,1,0.41,32
332888,3111,2.5,1,0.5,3
177452,2402,2.5,1,0.47,28
219262,2327,2.5,1,0.29,10
254327,2541,2.5,1,0.5,5
197105,1894,2,1,0.34,0
166888,1740,1.5,0,0.46,26
115401,1480,1.5,0,0.18,18
208610,1752,2.5,1,0.74,10
107892,1375,1.5,1,0.2,20
143294,1918,2,1,0.3,29
282373,2793,2.5,1,NA,21
239301,2619,2.5,1,0.4,0
143210,1744,1.5,1,0.57,35
379678,3720,4,1,0.8,0
221263,2000,2.5,0,0.73,22
111264,1142,1.5,0,0.19,18
252872,2612,2.5,1,0.56,23
172315,2008,2.5,1,0.32,0
182068,2035,2.5,1,0.43,35
94405,1375,1.5,0,0.09,22
26130,822,1,0,0.56,173
308218,3597,2.5,1,0.51,0
117164,1536,1,1,2.84,55
173639,1910,2.5,1,0.37,18
282289,3017,3.5,1,0.49,0
198083,1971,2.5,1,0.49,7
100306,1314,1.5,0,0.1,19
181225,1944,2.5,1,0.26,25
103677,1375,1.5,1,0.08,21
86651,1140,1.5,0,0.08,18
96934,1480,1.5,0,0.08,19
130650,2110,2,1,0.92,52
105843,972,1,0,0.36,40
114513,960,2,0,0.63,11
160426,2262,2,0,0.46,21
105363,864,1,0,1,128
189995,2150,2,0,1.2,104
104084,1170,2,0,2.5,10
210081,1596,1,1,3.14,29
137508,1530,2,1,0.48,20
111436,1380,1.5,0,0.14,2
74422,1708,1,2,0.87,39
107912,1308,1,0,0.46,26
123757,1416,1.5,0,1.94,5
139800,1900,1.5,1,0.37,12
77921,1704,1,0,2.5,177
145123,1372,1.5,0,0.69,26
104412,1480,1.5,1,0.17,15
391842,3003,3.5,1,0.46,88
118468,1298,1,1,0.17,44
176698,1772,2.5,1,0.06,14
63852,1536,1.5,1,0.46,30
212103,1400,2,1,0.98,25
146611,1580,1.5,0,1,26
113444,1656,1,0,0.1,94
47630,1235,1,1,0.32,84
63101,1628,1,0,0.06,124
51183,1144,1,0,0.64,15
92436,1300,1,0,1.08,10
114513,1560,1.5,0,1.59,5
269063,3319,2.5,0,2,20
127303,1210,1,1,0.7,17
133612,1768,1.5,1,0.37,48
137508,1164,1,1,2,54
145147,1832,2,1,0.52,47
107306,1276,2,0,4.67,29
260228,2092,2.5,1,3.64,0
104412,2116,2,0,0.05,74
120476,1248,2,0,1,14
118409,2128,2,0,1,7
146611,1056,1,0,9,5
85560,2068,1,1,1,104
205498,3069,3.5,1,1.05,13
163478,2334,2,0,0.44,39
137540,1551,1,0,1.95,97
116862,1456,1,1,0.4,54
109633,775,1,0,0.46,47
156606,1756,1.5,1,0.85,24
139418,1296,2,1,0.38,51
122229,1404,2,0,0.68,72
179524,1632,2,1,0.57,20
111633,1564,1,1,0.32,54
134266,1501,2,1,0.4,44
130239,1586,1.5,1,0.6,49
121680,1412,1.5,0,0.35,103
199187,2223,2.5,0,4.34,9
126311,1370,1,1,0.45,27
265637,3030,2.5,1,0.5,1
229915,2103,2.5,1,0.06,6
161473,1560,1,1,2,43
150909,1512,1.5,0,0.6,7
287360,3133,3,1,0.5,1
189912,2316,2.5,1,0.54,7
109040,1198,1,0,0.37,13
144561,1292,2,1,0.22,4
90678,957,1,0,0.18,49
89955,1216,1,0,0.21,129
122082,2256,1.5,0,0.17,124
84333,2043,1.5,1,0.32,94
144571,1512,1.5,1,0.05,13
180803,1570,2,1,0.92,14
198622,1616,2,1,1,36
120192,1404,2,0,6.13,7
163102,1552,1.5,1,0.46,9
184515,1472,1.5,1,0.7,3
189654,2367,2.5,1,0.36,4
135820,1475,2,1,0.46,20
150022,1632,2.5,1,0.5,30
189776,1964,2.5,1,0.48,6
196603,2064,2.5,1,0.84,3
161839,1601,1.5,1,0.03,8
202836,2284,1.5,1,0.28,29
156797,1672,2.5,1,0.15,0
222198,2495,2.5,1,0.41,26
103262,1176,1.5,0,0.22,31
253545,1498,1,1,0.4,51
116170,1272,1,0,0.26,31
112509,1138,1,0,0.14,98
355529,2186,2.5,0,1.4,12
204643,1743,2.5,1,0.15,0
135011,2488,2,1,0.41,24
106659,936,1,0,0.4,34
323819,2592,3,0,0.16,1
135011,1327,2,1,0.67,35
126010,864,1.5,0,0.16,37
216018,1216,1.5,0,0.14,75
446436,3467,2.5,1,0.34,3
133155,1480,2.5,1,0.03,16
146471,892,1,0,0.29,113
329484,2786,2.5,1,0.39,0
509488,3530,3.5,1,2.05,0
110963,1568,1.5,0,0.05,18
300931,847,1,0,0.55,78
255303,2242,2.5,0,0.07,0
150909,1374,1.5,0,0.18,44
184109,1920,2.5,1,0.16,0
173446,2124,2.5,1,0.14,0
127740,1480,2.5,1,0.03,16
213048,2022,2.5,1,0.48,0
114070,1098,1,0,0.1,113
205947,1224,1,0,0.27,63
209226,2550,2.5,1,0.46,0
134378,1279,1,0,0.28,31
113371,1177,1.5,0,0.17,36
261301,1859,1.5,0,0.14,85
218734,2219,2.5,1,0.3,15
254944,2579,2.5,1,0.72,0
143252,1568,1.5,0,0.16,18
99463,912,1,0,0.26,31
123064,1209,1,0,0.19,73
243305,2242,2.5,0,0.08,0
212846,2270,2.5,1,0.46,0
378465,3457,2.5,2,1,20
263408,1738,2,0,0.22,5
189654,1334,1.5,0,0.13,122
357384,2322,2.5,1,0.27,0
265515,1870,2.5,1,0.11,4
168497,1888,2,0,0.39,6
132088,1368,1,0,0.24,33
130518,1200,1.5,0,0.32,1
92519,1368,1,0,0.38,34
229761,2230,2.5,0,0.62,1
231298,1800,2.5,1,0.07,16
152822,1043,1,0,0.15,104
224888,1200,1,0,0.16,65
244124,2346,2.5,1,0.35,0
148989,792,1,0,0.13,36
236936,2300,2.5,1,0.07,16
261031,2280,2.5,1,0.47,24
246976,1652,1.5,1,0.05,4
120476,2238,1.5,1,0.21,114
168065,1016,2,0,NA,41
173794,1970,2.5,1,0.59,18
213901,1680,2,1,0.39,27
217797,1386,1.5,0,0.23,92
171885,1550,2.5,1,0.07,16
286474,2058,2.5,1,1.33,26
174940,1126,2,1,0.22,46
261647,1850,2.5,1,0.19,16
138424,1673,1,1,0.29,27
148967,2208,2.5,1,0.05,17
200940,1116,2,0,0.24,38
234429,1470,2.5,0,0.13,3
476301,2986,2.5,1,2.37,12
333411,3356,2.5,1,0.34,6
247639,1016,2,0,NA,41
122796,1612,1,1,0.29,34
279083,1908,2,1,0.22,16
177124,1064,1,1,0.1,77
160007,2078,1.5,0,0.22,33
154798,2470,2.5,1,0.34,26
373227,2058,1.5,1,0.23,49
122257,1400,1.5,0,1,17
165213,1664,3,0,0.99,10
128040,1488,2.5,1,2.15,1
120476,1120,2,0,0.73,7
64174,672,1,0,0.36,46
124492,1164,2,0,0.34,8
111534,1032,1,0,0.75,4
114590,1736,2,1,0.38,37
97783,1061,1,1,0.92,48
64552,1298,1,0,0.24,106
114238,1164,2,0,0.64,7
57678,924,1,0,0.17,104
89232,960,1,0,1,51
72189,1594,1.5,0,0.21,81
210081,2008,2.5,1,0.46,19
126049,1268,1,1,0.56,25
98790,1480,1.5,1,0.08,16
103408,1034,1.5,1,0.21,14
102806,1480,1.5,1,0.08,15
159843,1350,1.5,1,0.68,1
111353,1248,1.5,0,1.28,0
234954,2294,3.5,1,0.52,0
103256,1492,1.5,0,0.15,16
81580,1336,1.5,1,0.35,20
229180,2310,2.5,1,1.4,3
116882,1542,2.5,0,0.25,10
154238,1984,2.5,0,0.27,11
100839,1480,1.5,0,0.12,17
122257,1856,1.5,1,0.6,36
128040,1688,1,1,0.03,29
102806,1248,1,1,0.96,46
236055,2405,2.5,1,1.63,16
91672,1392,1.5,0,0.26,21
130757,1394,1,0,0.46,33
200793,1940,2,0,0.85,9
202836,2068,2.5,1,0.46,17
60238,1664,1.5,0,0.21,76
40932,1320,1,0,0.17,90
92519,1281,2.5,1,0.02,19
148692,1397,1.5,1,0.76,14
123910,1620,2.5,1,0.86,1
103258,1344,1.5,0,0.64,16
394532,3361,3.5,1,0.71,1
187104,2040,2.5,1,0.65,1
97476,1219,1.5,0,NA,19
125562,1253,1.5,1,0.21,16
208048,1876,2.5,1,0.24,1
334556,3296,2.5,1,0.61,6
134933,1496,1,1,0.25,37
178140,2200,2.5,1,0.61,1
345364,3308,2.5,1,0.66,7
285500,3328,2.5,1,0.35,0
228904,1824,2.5,1,0.18,11
207018,2147,2.5,1,0.61,9
257015,2093,2.5,1,0.46,1
160635,1336,2,0,0.32,11
329221,2934,2.5,1,0.66,9
136499,1152,1,0,0.8,36
121279,1348,2.5,1,0,18
240952,2376,2.5,1,0.06,10
340545,2926,3,1,0.84,11
176846,2249,2.5,1,0.59,1
312448,2919,2.5,1,0.05,5
314912,3423,2.5,1,0.38,0
171885,1536,2.5,1,0.72,7
225742,2216,2.5,1,0.5,8
240639,2572,2.5,1,0.94,9
236742,2412,2.5,1,0.55,10
99311,1281,2.5,1,NA,18
136192,1623,1.5,1,0.44,36
223266,2619,2.5,1,0.53,4
133215,1364,1.5,1,0.14,19
77650,1620,1.5,0,0.04,99
150505,1785,2.5,0,0.17,1
169343,1796,2.5,0,0.92,14
115566,1184,2,0,0.15,17
154528,1785,2.5,0,0.16,1
218184,2655,2.5,1,0.37,1
366772,3200,2.5,1,1.27,1
199990,2011,2.5,0,0.67,12
303599,3329,1.5,0,0.62,14
94774,1240,1.5,0,0.15,17
98389,1184,1.5,0,0.15,18
110115,1385,1.5,2,0.16,17
160349,1732,1.5,2,0.31,17
75094,728,1,0,0.06,22
152404,1508,2,1,0.33,16
154314,1466,1,1,0.23,62
99311,690,1,0,0.04,114
110770,911,1,0,0.12,114
157370,1656,1.5,1,0.33,19
148203,1782,1.5,0,0.34,36
85585,912,1.5,0,0.16,20
137606,1508,1.5,0,0.34,19
110889,1266,1,1,0.03,134
96004,912,1.5,0,0.16,18
119001,1506,1.5,1,0.46,24
74421,1928,2,1,0.27,134
145123,1536,2,0,0.98,6
163728,1811,2.5,1,0.46,19
193497,1948,2.5,1,1.13,13
73892,864,1.5,0,0.07,114
113367,1760,1.5,1,0.27,133
162984,1872,1.5,0,0.36,18
202800,2250,2.5,0,0.31,2
84291,924,1,0,0.91,15
98632,1406,1.5,0,0.16,19
155713,3535,3,2,4.2,39
146626,1561,1.5,0,0.33,18
92932,988,2,0,0.15,19
164419,1785,2.5,1,0.16,1
218184,2655,2.5,1,0.37,1
174208,2372,2,1,0.44,2
200713,2504,2.5,1,0.48,14
102003,1184,1.5,0,0.16,20
85939,1527,2,1,0.31,17
210672,1764,2.5,1,1,8
98389,1184,1.5,0,0.15,18
102806,1168,2,0,0.14,21
111239,912,1.5,0,0.16,20
100397,912,1.5,0,0.16,18
117703,1492,2.5,1,0.17,17
152786,1508,2,1,0.36,20
87852,1270,1,0,0.04,110
180670,2310,2.5,1,0.65,31
55817,1688,2,0,0.17,119
230708,2548,2.5,1,0.36,3
93846,1385,1.5,0,0.15,17
243276,3271,2.5,1,0.97,1
226304,1921,2,1,1,0
119784,1560,1,0,0.36,25
108478,1840,1,0,0.14,8
154696,1704,2.5,1,0.43,17
198622,1971,2.5,0,0.35,11
167776,3106,2.5,0,5.51,8
84291,924,1,0,0.91,15
126436,1216,1,1,0.49,51
129609,1635,1.5,0,0.28,52
137127,1892,2,2,0.25,26
277235,2950,2.5,1,0.41,1
209555,2539,2.5,0,0.38,1
101193,1375,1.5,1,0.07,21
104084,1302,1.5,1,0.05,17
99045,937,1,0,0.13,19
334556,3376,2.5,1,0.83,7
186605,2328,2.5,1,0.24,1
210646,1994,2,1,1,49
230414,2623,2.5,1,0.53,0
208253,2602,2.5,1,0.37,1
104084,1480,1.5,0,0.14,19
94584,924,1,1,0.17,19
233155,3236,2.5,1,2.5,0
227994,1973,2.5,1,0.27,3
115649,1422,1.5,0,0.23,20
137044,1352,1.5,0,0.18,11
261846,2772,2.5,1,0.29,0
168739,1620,2,0,0.3,0
236936,2500,2.5,1,0.46,11
197581,1702,1.5,1,0.61,16
297174,2748,2.5,1,0.92,3
155414,2310,2.5,1,0.6,38
141760,1740,1.5,0,0.53,36
214367,2500,2.5,1,0.19,0
146981,1832,1.5,1,0.67,30
268260,2657,2.5,1,0.6,15
69876,976,2,0,0.34,21
143768,1612,1.5,1,0.43,37
130917,1456,1,1,0.49,23
187701,1992,2.5,1,0.4,30
240872,2348,2.5,1,0.51,7
206415,2676,2.5,1,0.89,34
191790,2304,2.5,1,0.35,0
312434,3440,2.5,1,0.63,3
217226,2593,2.5,1,0.28,0
176618,2162,2.5,1,0.38,19
152786,1578,2.5,1,0.46,11
190983,2088,2.5,1,0.49,22
99082,924,1,1,0.15,20
148585,1734,1.5,1,0.45,34
129868,1792,2.5,1,0.08,24
304045,2960,2.5,1,0.61,8
265848,2993,2.5,1,1.34,15
187087,2027,2.5,1,0.46,15
220776,2421,2.5,2,0.48,13
161190,1758,2,1,0.27,26
184108,2702,1.5,1,0.35,31
179524,2600,2.5,1,0.44,18
244382,2572,2.5,1,1.03,6
213137,2498,2.5,1,0.53,36
244441,2396,2.5,1,2,5
263938,2641,2.5,1,0.34,3
271578,3123,2.5,1,0.49,14
119937,2028,2,1,0.5,27
504119,3721,2.5,1,1.14,14
140945,1873,2.5,1,0.29,32
236819,2608,2.5,1,0.58,4
91672,929,1.5,0,0.17,21
93200,924,1,1,0.31,19
118409,1227,2,1,0.12,19
180288,2294,2.5,1,0.4,36
87852,976,2,0,0.31,23
237583,2762,2.5,1,0.46,17
357138,2618,1.5,1,1.92,1
198622,2024,2,2,1.55,25
148967,1864,1.5,1,4,154
133688,1780,2.5,0,0.1,25
156530,1734,2.5,1,0.39,29
178760,2014,1.5,1,0.31,32
103633,1314,1.5,0,0.21,21
182334,2262,2.5,1,0.53,24
204661,1927,2,1,0.33,3
74422,2708,2,0,1.2,21
161496,1910,2.5,0,0.36,20
89306,1480,1.5,0,0.21,19
152491,1875,2.5,1,0.71,31
160007,1665,2,1,0.29,27
212103,2170,2.5,1,0.25,3
171171,1822,1.5,0,0.34,12
171171,1784,1.5,0,0.51,104
162612,1348,2,1,0.36,11
95260,1480,1.5,1,0.07,15
130239,1052,1.5,1,0.23,15
125029,1836,2,0,0.35,27
137681,1728,1.5,0,1.84,12
175084,2214,2.5,1,0.46,22
328491,2733,2.5,1,0.47,3
282655,2931,3.5,1,0.46,12
292524,2900,2.5,1,0.46,1
140658,2254,1.5,1,0.43,31
215824,2056,2.5,1,0.61,2
165957,1212,1,1,2,87
177998,2564,2.5,1,0.57,34
260887,2176,2,1,0,36
325262,3496,2.5,1,1.94,7
114827,1332,1,1,0.02,45
96958,1244,1.5,0,0.69,53
104339,1290,2,0,1.19,16
146609,1989,1.5,1,0.39,104
150798,1212,1.5,0,1,6
207347,2119,2.5,1,0.9,14
199900,1808,1.5,1,2,6
133199,1716,2,1,0.69,4
167253,1872,2,1,1.55,16
97682,1548,1.5,0,0.31,85
79170,1536,2,0,0.15,105
112877,1380,1,0,0.14,3
78191,1080,2,0,1,15
110738,1800,1.5,0,0.36,83
101227,1754,1,0,0.1,110
69463,1170,1,0,0.09,110
167319,2088,2,1,0.9,2
151950,1890,2,1,0.69,30
188497,1742,2.5,1,0.4,5
108002,1544,2,0,0.4,72
104371,1463,1.5,0,0.42,125
69814,840,1,1,0.18,57
116938,988,1,0,0.26,10
200791,1680,2.5,1,0.46,4
162631,1804,2.5,1,0.37,2
166222,1498,1.5,0,0.77,10
146978,1656,1.5,1,0.42,18
156820,1720,2,1,3.8,27
170534,1820,2.5,1,2.06,18
209371,2076,2.5,1,0.62,13
153590,1820,1.5,1,0.34,45
124585,1468,1,0,0.34,51
122044,1637,1.5,0,0.76,54
224668,2526,2.5,1,5.89,1
116589,1322,1,0,0.67,63
179572,1736,1.5,1,0.55,17
190444,1836,2,1,0.43,0
213249,1643,2.5,1,0.41,3
181399,1842,1.5,0,0.53,8
193565,2167,2.5,1,0.37,8
148231,1475,1.5,0,0.42,21
337918,3026,4,1,1.34,1
124669,1092,1.5,0,0.35,35
167975,2311,2.5,1,0.3,20
90446,1256,1.5,0,0.21,19
101230,1040,1,0,0.47,12
91386,1120,1,0,0.11,14
149078,1664,1.5,0,0.46,14
121973,2268,1,0,3,25
123827,1302,2,0,0.25,35
109259,1239,1,1,0.37,33
473938,780,1.5,0,0.19,55
107766,1272,1,1,0.38,43
578856,2472,2.5,1,0,6
191746,1666,1,0,0.18,140
146161,984,1,1,0.3,41
140238,1322,1,0,1,130
506149,2586,3,1,0.21,3
107513,1008,1,0,0.22,38
157430,1092,1,1,0.28,41
330219,2576,2.5,1,0.55,31
432845,3250,2.5,2,0.53,23
240857,1445,1.5,1,0.2,17
251259,1932,2,1,0.5,0
169647,1430,2.5,0,0.16,5
205950,1474,2,1,0.14,29
338596,1908,3.5,1,0.24,17
268783,2329,2,0,0.17,72
118585,936,1,0,0.24,35
113740,1920,1,1,0.27,34
257499,1675,2.5,1,0.04,18
152466,1600,2,0,0.46,35
114519,1428,2,0,0.16,85
247839,1536,1.5,1,NA,66
181516,1924,2,0,1.04,16
138914,1576,1.5,0,0.19,18
108421,1288,1,0,0.34,32
107411,840,1,0,0.21,2
166019,1110,1,1,0.06,115
93174,784,1,0,0.16,44
599701,5114,4.5,2,0.34,131
231749,1980,2,0,0.22,6
137220,1290,1.5,1,0.14,16
279522,2000,2.5,1,0.39,4
250723,2490,2.5,1,0.3,4
452745,1764,2.5,1,0.17,85
142057,952,1,0,0.13,102
111546,1560,1,0,0.3,31
262461,2932,2.5,1,0.46,31
492114,2563,2,0,0.17,55
298549,2310,3,1,0.25,23
156164,1792,2.5,0,0.29,6
183657,1250,1.5,0,0.22,43
160692,1500,2,1,0.4,18
147634,864,1.5,0,0.16,39
236215,1392,2.5,0,0.13,4
109249,812,1,0,0.1,115
139104,1760,3,0,0.16,135
104328,898,1,1,0.61,57
104984,1096,1,0,0.3,67
90446,1200,2,0,0.56,10
142420,2016,1.5,0,0.86,16
52360,1310,1.5,0,0.24,120
113796,960,1,0,0.36,40
104267,1056,1,0,0.44,47
129427,1512,2,0,0.46,16
151950,1890,2.5,0,0.46,27
172789,1812,2,1,1,16
135526,1952,2.5,1,0.55,31
148401,1856,1.5,1,0.6,37
65615,924,1,0,3.17,39
283851,2346,2.5,0,0.54,1
130782,1274,1.5,0,0.44,14
135526,1420,1.5,0,0.35,13
184315,2296,2.5,0,0.58,19
146329,2026,2.5,1,1,1
55851,990,1.5,0,0.08,75
111809,1711,1,0,0.45,112
88092,3944,1,2,1.64,185
26049,1344,2,0,0.92,13
111702,878,1,0,0.14,28
232989,2248,2.5,1,0.58,7
235620,2107,1,1,0.09,1
119389,1364,1.5,1,0.07,20
112153,1270,1.5,1,0.09,18
202527,2120,2.5,1,0.46,9
150502,1668,2,1,0.26,18
188497,2110,2.5,1,1,9
129155,1242,2,1,0.13,3
117287,1040,1,0,1.08,39
209371,2084,2.5,2,0.43,5
99903,1360,1,0,0.44,79
205950,2024,2.5,1,0.52,10
127055,1019,1.5,0,0.24,16
311709,3028,2.5,1,0.66,0
142302,1242,2,1,0.12,2
177539,1528,2.5,0,0.46,8
277828,2988,2.5,1,0.5,9
196512,1428,2,1,0.39,20
104984,1144,1.5,1,0.52,44
157411,1666,2.5,0,0.26,2
202751,2202,2.5,1,1.01,6
104984,1184,2,0,0.16,21
155929,2601,2.5,1,0.34,19
226705,2510,2.5,1,0.44,1
271339,3056,2.5,1,0.57,6
126082,1592,1.5,1,0.16,18
113600,1240,2,0,0.16,18
104556,1673,2,0,0.15,18
167145,1852,2.5,0,0.44,16
